time,atemp,dtemp,windspd,solrad,cloud
0,-5.8,-10.4,1.1,0.01,0
0.0417,-6.4,-10.6,0.4,0.01,0
0.0833,-6.7,-10.3,1.4,0.01,0
0.125,-7,-9.7,1,0.01,0
0.1667,-7.5,-10.5,1.6,0.01,0
0.2083,-8,-10.5,1.2,0.01,0
0.25,-8.5,-11.1,1.3,0.01,0
0.2917,-8.8,-11.4,1.4,0.01,0
0.3333,-8.5,-11.4,2.1,0.01,0.2
0.375,-7,-10.5,0.9,0.26,1
0.4167,-5.3,-10.1,1,0.88,0.6
0.4583,-3.1,-9.3,0.6,1.2,1
0.5,-1.3,-7.2,1.1,0.84,0.6
0.5417,1.3,-5.8,1.5,1.66,0.6
0.5833,3.4,-4.5,1.5,1.61,0.6
0.625,2.8,-3.5,1.9,0.82,1
0.6667,2.9,-2.2,1.1,0.58,1
0.7083,2.6,-2.5,1.9,0.31,1
0.75,1.7,-2.6,1.9,0.01,0.6
0.7917,1.6,-4.6,2,0.01,0.6
0.8333,0.6,-4.8,0.8,0.01,0.6
0.875,-0.3,-4.5,1,0.01,0.6
0.9167,-0.6,-3.9,0.2,0.01,0.6
0.9583,-1.4,-4,0.3,0.01,0.6
1,-1.2,-4.8,0.2,0.01,0.7
1.0417,-2,-5.3,0.9,0.01,0.7
1.0833,-0.4,-5,1.5,0.01,0.7
1.125,0.1,-5.1,1.6,0.01,0.8
1.1667,0.2,-2.8,1.9,0.01,1
1.2083,-0.2,-1.9,2.9,0.01,1
1.25,-2.1,-6.4,4.2,0.01,0.7
1.2917,-4.1,-10.7,4.4,0.01,0.4
1.3333,-5.1,-12.9,3.5,0.02,0.3
1.375,-4.9,-15,3.9,0.35,0.4
1.4167,-4.4,-16,3.2,1.03,0
1.4583,-3.2,-16.1,2.7,1.59,0
1.5,-2.9,-16.6,3.7,1.95,0
1.5417,-2.4,-16.8,4.3,2.1,0
1.5833,-1.9,-16,3.3,1.97,0
1.625,-2.2,-15.9,5,1.62,0
1.6667,-2.1,-16.2,4.3,1.08,0.1
1.7083,-3.5,-16.7,4.2,0.43,0.2
1.75,-4.3,-15.9,2.9,0.02,0.2
1.7917,-5.2,-17,3.7,0.02,0.2
1.8333,-5.9,-16.7,3.1,0.02,0.2
1.875,-6.6,-17.4,2.9,0.02,0
1.9167,-7.3,-18.3,4.2,0.02,0
1.9583,-7.9,-19.1,3.4,0.02,0
2,-8.4,-18.7,3.4,0.02,0
2.0417,-8.5,-18.3,3,0.02,0
2.0833,-8.7,-18,2.2,0.02,0
2.125,-8.9,-17.4,2.2,0.02,0
2.1667,-9,-17.7,3.5,0.02,0
