J_day,Sangju,Nakdan,Gumi,Chilgok,Gangjeong_Goryung,Dalsung,Hapcheon_Changnyung,Changnyung_Haman,Nakdongganghagoo
1,46.03,39.75,30.59,25.52,18.36,13.64,4.94,4.96,0.9
2,46.23,39.65,30.48,25.5,18.34,13.69,4.89,4.91,0.93
3,46.64,39.71,30.42,25.5,18.36,13.55,4.91,4.93,0.89
4,46.91,39.71,30.5,25.49,18.36,13.58,4.92,4.91,0.9
5,47.03,39.79,30.56,25.53,18.35,13.63,4.94,4.94,0.87
6,47.03,39.8,30.53,25.56,18.38,13.62,4.95,4.94,0.92
7,47.03,39.76,30.5,25.51,18.35,13.52,4.96,4.92,0.95
8,47.05,39.75,30.52,25.51,18.34,13.52,4.91,4.92,0.9
9,47.11,39.8,30.51,25.49,18.36,13.6,4.9,4.9,0.88
10,47.11,39.8,30.56,25.54,18.33,13.66,4.94,4.92,0.86
11,47.08,39.8,30.52,25.55,18.32,13.63,4.98,4.98,0.88
12,47.07,39.8,30.54,25.52,18.32,13.66,4.97,4.95,0.93
13,47.07,39.81,30.52,25.53,18.36,13.62,4.96,4.92,0.91
14,47.08,39.77,30.56,25.53,18.35,13.63,5.01,4.99,0.89
15,47.08,39.85,30.55,25.52,18.32,13.64,4.92,4.91,0.93
16,47.08,39.85,30.64,25.5,18.31,13.6,4.95,4.96,0.89
17,47.1,39.91,30.62,25.5,18.34,13.62,4.96,4.95,0.86
18,47.08,39.79,30.66,25.59,18.35,13.66,4.93,4.95,0.88
19,47.07,39.84,30.62,25.51,18.33,13.58,4.99,4.98,0.9
20,47.13,39.87,30.62,25.5,18.29,13.65,4.92,4.92,0.92
21,47.12,39.91,30.68,25.49,18.33,13.64,4.94,4.93,0.9
22,47.08,39.79,30.75,25.56,18.36,13.66,4.95,4.93,0.89
23,47.06,39.72,30.64,25.57,18.36,13.61,5,5.01,0.89
24,47.07,39.74,30.52,25.56,18.35,13.58,4.97,4.96,0.9
25,47.07,39.77,30.56,25.51,18.31,13.53,4.99,4.95,0.89
26,47.07,39.82,30.53,25.53,18.35,13.67,4.96,4.92,0.92
27,47.08,39.82,30.56,25.54,18.31,13.67,5.18,4.9,0.91
28,47.07,39.72,30.61,25.54,18.54,13.82,5.16,4.91,0.86
29,47.06,39.71,30.53,25.53,18.5,13.57,5.14,5.03,0.88
30,47.07,39.73,30.54,25.52,18.49,13.61,5.27,4.94,0.94
31,47.06,39.74,30.51,25.54,18.38,13.54,6.06,4.92,0.88
32,47.02,39.84,30.56,25.55,18.35,13.58,6.44,4.97,0.89
33,47.05,39.76,30.67,25.51,18.3,13.63,6.86,4.94,0.92
34,47.06,39.75,30.84,25.5,18.27,13.54,7.2,4.94,0.89
35,47.05,39.78,31.1,25.5,18.3,13.57,7.33,4.91,0.89
36,47.05,39.72,31.59,25.48,18.3,13.58,7.51,4.91,0.85
37,47.04,39.67,32.03,25.48,18.3,13.61,7.68,4.9,0.82
38,47.02,39.61,32.43,25.47,18.3,13.63,7.87,4.9,0.76
39,47.02,39.59,32.53,25.52,18.33,13.59,8.11,4.9,0.76
40,47.05,39.73,32.52,25.52,18.29,13.56,8.25,4.95,0.76
41,47.04,39.86,32.6,25.53,18.31,13.52,8.25,4.95,0.78
42,47.04,39.76,32.64,25.57,18.37,13.64,8.37,4.94,0.79
43,47.04,39.76,32.62,25.53,18.39,13.66,8.82,4.89,0.8
44,47.09,39.75,32.62,25.51,18.42,13.73,9.09,4.93,0.77
45,47.06,39.89,32.65,25.54,18.44,13.75,9.23,4.97,0.74
46,47.04,39.77,32.64,25.55,18.42,13.77,9.25,4.94,0.84
47,47.05,39.86,32.64,25.45,18.34,13.65,9.27,4.94,0.88
48,47.04,39.66,32.62,25.45,18.36,13.58,9.22,4.91,0.93
49,47.05,39.69,32.65,25.53,18.31,13.51,9.22,4.9,0.91
50,47,39.61,32.61,25.52,18.37,13.62,9.23,4.82,0.92
51,47.05,39.69,32.6,25.49,18.3,13.61,9.29,4.81,0.91
52,47.04,39.79,32.62,25.52,18.33,13.56,9.27,4.82,0.9
53,47.04,39.77,32.6,25.54,18.37,13.75,9.27,4.84,0.89
54,47.04,39.79,32.6,25.52,18.37,13.61,9.27,4.83,0.93
55,47.04,39.79,32.62,25.53,18.36,13.55,9.23,4.86,0.96
56,47.04,39.79,32.56,25.55,18.38,13.61,9.26,4.84,0.96
57,47.03,39.78,32.53,25.49,18.3,13.6,9.37,4.83,0.95
58,47.04,39.76,32.54,25.52,18.32,13.54,9.34,4.84,0.92
59,47.05,39.76,32.53,25.53,18.36,13.55,9.22,4.87,0.86
60,47.09,39.89,32.56,25.63,18.49,13.76,9.33,4.87,0.88
61,47.2,39.98,32.7,25.64,18.64,13.97,9.64,5,0.91
62,47.1,39.8,32.64,25.33,18.48,13.93,9.26,4.95,0.82
63,47.07,39.85,32.64,25.36,18.44,13.67,9.32,4.85,0.79
64,47.12,39.9,32.63,25.47,18.32,13.64,9.32,4.88,0.91
