J_day,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173
0,21.49,0.262058,0.1,0.667633,1.0356,0.455,0.494833,0.6175,0.1,1.10003,0.1,0.1,0.89405,0.144912,0.130982,0.1,0.462417,0.19,0.179694,0.1,0.1,0.1,0.1,16.87,0.1,0.3,1.075,1.97,0.165,0.1,12.8523,5.40579,-9.5,3.71,1.07088,1.97871,0.723357,0.1,0.485,1.37619,0.1,0.232787,1.77201,0.116776,0.1,3.89916,1.29701,0.1,0.1,0.1,2.39782,1.95014,2.6697,1.12341,0.105182,0.388142,0.1,0.155072,0.417813,0.218162,0.256917,0.1,0.492938,0.1,0.1,0.143605,0.1,0.120991,0.59,1.42551,0.1,0.926844,0.626509,0.552215,7.61,1.2971,0.1,2.22891,3.535,0.405,0.492124,0.512903,0.813247,0.390477,0.685125,0.102184,0.713608,0.463607,0.1,0.1,0.412543,0.860369,0.295,0.202886,0.30322,0.81,1.5,0.1,0.201425,0.1,0.1,0.256426,0.1,0.1,0.23474,1.73,0.256462,0.261134,0.622109,0.625,0.483103,8.12695,0.48,0.500226,2.04,0.1,0.567097,0.771898,0.33,0.1,0.619088,0.1,0.609913,0.304651,0.385,0.243039,4.815,0.720979,2.36,0.361194,0.833853,0.572757,0.1,0.609159,0.804268,0.1,0.77103,0.1,15.31,0.13399,0.15198,0.1,1.77275,10.195,0.1,0.1,1.51,0.1,0.1,0.1,0.1,0.1,0.1,8.47,0.1,0.642294,0.291233,0.275,0.1,0.234425,1.575,0.199426,0.188007,0.307155,0.21,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1,21.485,0.537478,0.1,1.51752,2.35392,0.455,1.12475,1.40357,0.1,2.50035,0.1,0.1,2.03217,0.240563,0.130982,0.1,1.0453,0.19,0.259387,0.1,0.1,0.1,0.1,19.68,0.1,0.3,1.075,1.925,0.165,0.1,14.4743,6.08805,-9.5,3.86,1.12358,2.12275,0.741099,0.1,0.475,1.45961,0.1,0.228894,1.89525,0.117707,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.254935,0.1,0.11368,0.272917,0.151916,0.175404,0.1,0.318565,0.1,0.1,0.10673,0.1,0.1,0.585,3.24016,0.1,2.10671,1.42405,1.25518,7.605,2.94829,0.1,2.48187,3.56,0.42,0.547976,0.571114,0.905544,0.434793,0.762882,0.1,0.794597,0.516223,0.1,0.1,0.412543,0.860369,0.295,0.202886,0.30322,0.81,1.505,0.1,0.153038,0.1,0.1,0.194826,0.1,0.1,0.17835,1.735,1.01003,1.02844,2.45007,0.615,1.90262,9.15263,0.475,0.297997,2.04,0.1,0.337833,0.459838,0.355,0.1,0.368806,0.1,0.36334,0.183166,0.395,0.150947,4.755,0.429505,2.4,0.215172,0.862711,0.563179,0.1,0.598972,0.790819,0.1,0.758136,0.1,15.355,0.148051,0.179762,0.1,0.1,10.195,0.1,0.1,1.53,0.1,0.1,0.1,0.1,0.1,0.1,8.525,0.1,0.415088,0.196202,0.275,0.1,0.161773,1.59,0.140561,0.122169,0.184475,0.215,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2,18.65,0.722073,0.3,2.03871,3.16236,0.45,1.51104,1.88562,0.3,3.35908,0.3,0.3,2.73011,0.323183,0.3,0.3,1.40431,0.3,0.3,0.3,0.3,0.3,0.3,17.88,0.3,0.3,0.62,1.84,0.3,0.31,12.694,5.33921,-9.5,3.95,7.36457,13.9136,4.85756,0.3,0.46,9.56706,0.3,0.3,12.4225,1.07974,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.315206,1.93151,0.3,0.600186,2.10099,0.96056,1.18193,0.3,2.5284,0.3,0.3,0.534682,0.3,0.40551,0.58,4.35298,0.3,2.83025,1.91313,1.68626,12.37,3.96088,0.3,0.934019,3.58,0.42,0.3,0.3,0.340789,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.440622,0.918928,0.3,0.3,0.323858,0.81,0.76,0.3,0.398348,0.3,0.3,0.507121,0.3,0.3,0.464234,1.74,0.599557,0.61048,1.45437,0.64,1.1294,8.02684,0.47,0.68933,8.09,0.3,0.781481,1.0637,0.36,0.3,0.853126,0.3,0.840482,0.4141,0.41,0.31391,4.73,0.993536,1.94,0.497739,5.65468,0.657042,0.3,0.698801,0.922622,0.3,0.884492,0.3,15.39,1.35808,1.64897,0.683213,0.3,10.23,0.3,4.51054,1.54,4.00267,0.3,0.3,4.05758,3.05652,0.3,3.93,0.3,3.29449,1.37795,0.3,0.3,1.05346,1.6,0.853537,0.3,0.418172,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
3,18.655,0.681587,0.3,1.9244,2.98505,0.46,1.42632,1.7799,0.3,3.17074,0.3,0.3,2.57703,0.311592,0.3,0.3,1.32557,0.3,0.3,0.3,0.3,0.3,0.3,15.015,0.3,0.3,0.885,1.835,0.3,0.305,12.5454,5.27672,-9.5,3.965,6.6025,12.4739,4.35491,0.3,0.465,8.57709,0.3,0.3,11.1371,1.4023,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.350322,2.14669,0.3,0.66705,2.33505,1.06757,1.31361,0.3,2.81008,0.3,0.3,0.594248,0.3,0.450686,0.58,4.10891,0.3,2.67156,1.80586,1.59172,12.38,3.73879,0.3,0.934019,3.585,0.415,0.3,0.3,0.340789,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.449802,0.938072,0.31,0.3,0.330605,0.815,0.76,0.3,0.398348,0.3,0.3,0.507121,0.3,0.3,0.464234,1.74,0.565867,0.576176,1.37264,0.645,1.06594,7.9329,0.47,0.646551,8.1,0.3,0.732982,0.997692,0.36,0.3,0.800182,0.3,0.788323,0.388402,0.405,0.306955,4.72,0.931878,1.92,0.46685,5.06955,0.66662,0.3,0.708987,0.936071,0.3,0.897386,0.3,15.385,1.7638,2.14159,0.887318,0.3,10.225,0.3,4.95589,1.55,4.39788,0.3,0.3,4.45821,3.35831,0.3,3.9,0.3,3.66151,1.53147,0.3,0.3,1.17082,1.61,0.948626,0.3,0.39222,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4,18.665,0.47055,0.3,1.05505,1.60648,0.465,0.820798,0.987084,0.3,1.70641,0.3,0.3,1.38689,0.3,0.3,0.3,0.773416,0.3,3.27994,0.3,0.640063,0.3,0.3,6.225,0.3,0.3,1.155,1.825,0.3,0.305,10.9111,4.58934,-9.5,4.015,3.07022,5.66707,2.07613,0.3,0.495,3.94356,0.3,0.3,5.07581,1.53472,0.3,0.990654,0.422346,0.3,0.3,0.3,0.662762,0.56499,0.722142,0.384432,0.342719,1.71761,0.3,0.53372,1.86832,0.854185,1.05104,0.3,2.2484,0.3,0.3,0.476907,0.3,0.397931,0.58,2.21131,0.3,1.43776,0.999298,0.898584,12.38,2.01212,0.3,0.935788,3.59,0.405,0.3,0.3,0.341435,0.3,0.3,0.3,0.300084,0.3,0.3,0.3,0.442782,0.923432,0.31,0.3,0.325446,0.805,0.755,0.3,0.399473,0.3,0.3,0.508554,0.3,0.3,0.465546,1.745,0.523238,0.53277,1.26923,0.65,0.985634,6.89951,0.47,0.451886,8.11,0.3,0.492242,0.615839,0.355,0.3,0.523619,0.3,0.518082,0.331351,0.395,0.3,4.705,0.58511,1.93,0.36798,2.39221,0.685776,0.3,0.729361,0.96297,0.3,0.923173,0.3,15.385,1.93035,2.34382,0.971108,0.526248,10.16,0.3,4.36087,1.535,3.86985,0.3,0.3,3.92294,2.9551,0.3,3.905,0.3,2.92965,1.22536,0.3,0.3,0.936798,1.615,0.759014,0.3,0.333134,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
5,18.66,0.3,0.3,0.3,0.352607,0.455,0.3,0.3,0.3,0.365211,0.3,0.3,0.324914,0.3,0.3,0.3,0.3,0.3,6.6014,0.3,1.0336,0.3,0.3,0.3,0.3,0.3,1.135,1.84,0.3,0.31,7.93737,3.33854,-9.5,3.985,0.3,0.3,0.3,0.3,0.525,0.3,0.3,0.3,0.3,1.35476,0.3,2.08211,0.67454,0.3,0.3,0.3,1.27,1.02784,1.41707,0.580636,0.3,1.33208,0.3,0.413921,1.44896,0.662456,0.815127,0.3,1.74372,0.3,0.3,0.370184,0.3,0.316991,0.59,0.428889,0.3,0.331329,0.3,0.3,12.38,0.403767,0.3,0.941095,3.59,0.39,0.3,0.3,0.343371,0.3,0.3,0.3,0.301301,0.3,0.3,0.3,0.417943,0.87163,0.305,0.3,0.307189,0.79,0.75,0.3,0.400599,0.3,0.3,0.509986,0.3,0.3,0.466857,1.745,0.501923,0.511067,1.21753,0.665,0.945484,5.01909,0.47,0.3,8.07,0.3,0.3,0.3,0.35,0.3,0.3,0.3,0.3,0.3,0.39,0.3,4.78,0.3,2.135,0.3,0.3,0.695354,0.3,0.739547,0.976419,0.3,0.936066,0.3,15.39,1.70401,2.06899,0.857239,0.931883,10.215,0.3,4.47917,1.5,3.97483,0.3,0.3,4.02936,3.03526,0.3,3.95,0.3,2.27206,0.950314,0.3,0.3,0.726525,1.605,0.588646,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
6,18.66,0.3,0.3,0.3,0.3,0.45,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,8.9575,0.3,1.4025,0.3,0.3,0.3,0.3,0.3,1.11,1.93,0.3,0.305,8.48049,3.56698,-9.5,4.24,0.3,0.3,0.3,0.3,0.525,0.3,0.3,0.3,0.3,1.38419,0.3,2.70849,0.877467,0.3,0.3,0.3,1.65206,1.33705,1.84337,0.755313,0.3,1.12074,0.3,0.397159,1.21908,0.557354,0.685804,0.3,1.46708,0.3,0.3,0.370184,0.3,0.316991,0.605,0.3,0.3,0.3,0.3,0.3,12.37,0.3,0.3,0.942864,3.59,0.385,0.3,0.3,0.344016,0.3,0.3,0.3,0.301868,0.3,0.3,0.3,0.410383,0.855864,0.305,0.3,0.301633,0.805,0.745,0.3,0.383719,0.3,0.3,0.488498,0.3,0.3,0.447186,1.73,0.487484,0.496365,1.18251,0.675,0.918285,5.36252,0.465,0.3,7.895,0.3,0.3,0.3,0.345,0.3,0.3,0.3,0.3,0.3,0.39,0.3,4.725,0.3,2.39,0.3,0.3,0.695354,0.3,0.739547,0.976419,0.3,0.936066,0.3,15.39,1.74102,2.11393,0.875859,1.21223,10.295,0.3,4.40448,1.555,3.90855,0.3,0.3,3.96217,2.98465,0.3,3.985,0.3,1.91159,0.799543,0.3,0.3,0.611259,1.61,0.50149,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
7,18.67,0.3,0.3,0.3,0.3,0.45,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,6.85214,0.3,1.07286,0.3,0.3,0.3,0.3,0.3,1.11,1.98,0.3,0.3,10.614,4.46436,-9.5,4.585,0.3,0.3,0.3,0.3,0.52,0.3,0.3,0.3,0.3,1.37966,0.3,2.83483,0.918398,0.3,0.3,0.3,1.72912,1.39942,1.92936,0.790546,0.308439,1.29621,0.3,0.451685,1.40995,0.64462,0.793182,0.3,1.69678,0.3,0.3,0.418759,0.3,0.353831,0.61,0.3,0.3,0.3,0.3,0.3,12.35,0.3,0.3,0.94817,3.57,0.39,0.3,0.3,0.345953,0.3,0.3,0.3,0.303567,0.3,0.3,0.3,0.408223,0.851359,0.3,0.3,0.301213,0.805,0.74,0.3,0.351086,0.3,0.3,0.446954,0.3,0.3,0.409155,1.725,0.514987,0.524369,1.24922,0.67,0.970092,6.71162,0.46,0.3,7.79,0.3,0.3,0.3,0.35,0.3,0.3,0.3,0.3,0.3,0.39,0.3,4.62,0.3,2.49,0.3,0.3,0.688649,0.3,0.732417,0.967005,0.3,0.927041,0.3,15.4,1.73533,2.10702,0.872994,1.26877,10.2,0.3,4.26517,1.575,3.78493,0.3,0.3,3.83685,2.89025,0.3,3.985,0.3,2.21089,0.924728,0.3,0.3,0.706964,1.63,0.579033,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
8,18.655,0.3,0.3,0.3,0.3,0.45,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,2.92675,0.3,0.45825,0.3,0.3,0.3,0.3,0.3,1.095,1.92,0.3,0.3,10.5483,4.4367,-9.5,4.45,3.49815,6.47555,2.35839,0.3,0.51,4.49947,0.3,0.3,5.79764,1.33326,0.3,1.5178,0.593125,0.3,0.3,0.3,0.984299,0.825217,1.08091,0.531437,0.308439,1.82136,0.3,0.565958,1.98117,0.905781,1.11453,0.3,2.38421,0.3,0.3,0.504189,0.3,0.382384,0.605,0.3,0.3,0.3,0.3,0.3,12.345,0.3,0.3,0.967629,3.515,0.39,0.3,0.3,0.353052,0.3,0.300619,0.3,0.309797,0.3,0.3,0.3,0.383924,0.800683,0.3,0.3,0.3,0.8,0.745,0.3,0.317666,0.3,0.3,0.395383,0.3,0.3,0.361945,1.73,0.533551,0.543272,1.29425,0.665,1.00506,6.67004,0.46,0.3,7.87,0.3,0.3,0.3,0.355,0.3,0.3,0.3,0.3,0.3,0.385,0.3,4.635,0.3,2.485,0.3,2.72079,0.669493,0.3,0.712043,0.940106,0.3,0.901254,0.3,15.4,1.67696,2.03615,0.843632,0.762181,10.215,0.3,4.52285,1.56,4.01359,0.3,0.3,4.06865,3.06486,0.3,3.935,0.3,3.1066,1.29937,0.3,0.3,0.993383,1.635,0.804861,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
9,18.65,0.3,0.3,0.3,0.3,0.455,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,6.03507,0.3,0.944929,0.3,0.3,0.3,0.3,0.3,1.095,1.865,0.3,0.3,9.73479,4.09455,-9.5,4.205,3.49815,6.47555,2.35839,0.3,0.5,4.49947,0.3,0.3,5.79764,1.39777,0.3,4.23934,1.47482,0.3,0.3,0.3,2.64432,2.16871,2.93317,1.29039,0.3,1.32439,0.3,0.414273,1.4406,0.658634,0.810425,0.3,1.73367,0.3,0.3,0.38543,0.3,0.328553,0.6,0.3,0.3,0.3,0.3,0.3,12.345,0.3,0.3,0.971167,3.485,0.41,0.3,0.3,0.354343,0.3,0.300619,0.3,0.310929,0.3,0.3,0.3,0.336946,0.702709,0.3,0.3,0.3,0.81,0.75,0.3,0.3,0.3,0.3,0.345244,0.3,0.3,0.316547,1.735,0.556241,0.566375,1.34929,0.66,1.0478,6.15566,0.46,0.3,7.915,0.3,0.3,0.312781,0.355,0.3,0.3,0.3,0.3,0.3,0.385,0.3,4.605,0.302043,2.47,0.3,2.72079,0.657042,0.3,0.698801,0.922622,0.3,0.884492,0.3,15.39,1.7581,2.13467,0.884453,1.98025,10.34,0.3,4.73495,1.62,4.20181,0.3,0.3,4.25945,3.20859,0.3,3.93,0.3,2.25895,0.944831,0.3,0.3,0.722333,1.625,0.58525,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
