day,Sangju,Nakdan,Gumi,Chilgok,Gangjeong_Goryung,Dalsung,Hapcheon_Changnyung,Changnyung_Haman
1,89.59,56.94,70.12,51.61,82.04,102.79,159.64,103.61
2,53.59,41.95,62.72,52.26,71.89,78.87,129.61,116.1
3,16.23,22.18,23.22,16.4,23.17,56.08,40.7,65.75
4,17.94,28.75,10.9,14.76,18.81,29.9,3.08,40.97
5,28.35,38.24,24.13,22.89,36.97,49.41,18.46,45.65
6,38.69,43.66,39.03,36.79,44.5,62.56,36.72,69.74
7,31.46,40.05,36.48,47.19,64.38,83.1,135.11,89.15
8,17.05,30.21,18.87,17.02,28.18,44.14,17.34,73.46
9,20.76,31.08,21.82,25.81,34.88,41.86,4.26,54.23
10,28.32,38.22,33.58,29.39,44.28,75.89,33.13,45.8
11,37.36,38.23,39.96,47.27,61.73,89.3,80.33,76.88
12,38.97,38.32,34.05,47.33,54.78,96.54,47.94,79
13,39.63,38.48,38.95,45.57,47.38,69.78,62.84,76.3
14,39.85,43.8,37.74,46.32,55.71,89.31,55.28,67.88
15,40.61,35.66,32.41,43.7,59.33,98.17,57.54,100.3
16,39.99,39.82,32.11,41.2,48.78,66.48,78.56,79.07
17,33.08,35.36,32.2,38.2,43.51,76.04,28.76,64.17
18,37.14,47.39,54.86,40.22,48.82,85.33,37.24,78.07
19,38.71,27.61,38.39,55.2,68.92,90.73,115.31,81.23
20,31.17,26.3,31.17,42.52,54.16,83.81,36.01,93.89
21,34.39,31.07,31.34,41.05,41.97,65.63,40.7,65.7
22,41.46,41.76,54.7,43.61,47.52,69.66,39.36,68.84
23,37.4,33.81,70.38,59.5,67.29,86.08,108.17,86.01
24,37.84,29.83,64.61,57.09,67.34,92.44,103.46,106.19
25,38.31,30.18,53.53,51.21,63.59,82.63,98.4,88.43
26,37.86,30.6,58.17,47.54,52.04,74.96,20.88,87.89
27,39.05,36.54,59.91,46.49,60.3,77.92,73.54,94.67
28,40.28,39.92,65.26,54.17,22.94,31.3,26.85,51.51
29,36.4,29.67,64.89,52.17,61.1,102.96,102.29,78.73
30,37.82,29.64,56.3,43.9,50.31,92.05,18.75,89.44
31,38.56,29.92,58.82,43.2,65.47,103.94,15.52,40.56
32,44.5,30.37,55.22,48.2,65.25,98.74,47.89,69.51
33,42.34,39.58,46.2,51.77,65.16,80.79,27.01,53.8
34,40.65,33.03,27.41,32.28,41.87,81.91,28.29,50.41
35,38.68,30.19,14.76,21.38,21.6,41.33,15.15,52.69
36,38.32,32.28,0,8.56,13.01,30.13,0.26,28.09
37,37.93,29.94,0.38,9.54,13.15,28.03,0.26,22.83
38,36.4,32.46,0.5,9.67,17.03,35.68,0.26,11.8
39,35.35,31.42,22.37,20.01,21.64,39.24,3.05,34.47
40,32.93,21.8,20.83,22.85,41.75,69.88,27.4,43.3
41,34.41,24.89,16.54,17.35,17.49,30.03,32.06,48.22
42,35.93,40.32,46.37,37.43,36.99,40.71,12.71,47.36
43,36.45,36.9,42.85,49.71,52.13,89.97,0.23,29.75
44,30.46,40.58,37.18,40.12,38.07,69.63,0.26,16.15
45,35.74,37.26,31.04,23.68,24.34,64.49,14.64,32.15
46,35.77,50.2,53.89,54.15,59.76,102.93,67.39,102.82
47,35.89,29.29,34.8,46.64,60.63,100.2,79.71,111.79
48,36.73,42.11,59.04,46.38,52.49,88.2,72.04,101.44
