time,atemp,dtemp,windspd,solrad,cloud,date,station
0,-7,-14.9,3.9,0,0,1/1/2021 0:00,136
0.042,-7.1,-14.4,3,0,0.1,1/1/2021 1:00,136
0.083,-7.2,-14,2.9,0,0,1/1/2021 2:00,136
0.125,-7.5,-13.7,3,0,0,1/1/2021 3:00,136
0.167,-7.5,-14.3,3.1,0,0,1/1/2021 4:00,136
0.208,-7.4,-15.5,3.4,0,0,1/1/2021 5:00,136
0.25,-8.2,-14.8,2.2,0,0,1/1/2021 6:00,136
0.292,-8.8,-14.5,1.5,0,0,1/1/2021 7:00,136
0.333,-8.9,-14.1,1.6,0.01,0,1/1/2021 8:00,136
0.375,-7.2,-13,1.6,0.4,0,1/1/2021 9:00,136
0.417,-5.2,-13,2.3,0.99,0.2,1/1/2021 10:00,136
0.458,-3.4,-12.8,1.6,0.96,0.3,1/1/2021 11:00,136
0.5,-1.2,-13.1,2.5,1.85,0.1,1/1/2021 12:00,136
0.542,0.2,-10.9,2.9,1.99,0.2,1/1/2021 13:00,136
0.583,0.2,-10,3.6,1.56,0.4,1/1/2021 14:00,136
0.625,-0.1,-8.5,3.6,1.17,0.5,1/1/2021 15:00,136
0.667,0.1,-8.3,3.1,0.89,0.3,1/1/2021 16:00,136
0.708,-1,-8.4,2.8,0.27,0.4,1/1/2021 17:00,136
0.75,-1.8,-7.9,2.3,0.01,0.6,1/1/2021 18:00,136
0.792,-2,-7.7,0.9,0,0.6,1/1/2021 19:00,136
0.833,-2.3,-7,1,0,0.8,1/1/2021 20:00,136
0.875,-2.3,-6.4,1.3,0,0.7,1/1/2021 21:00,136
0.917,-2.9,-6.5,0.9,0,0.7,1/1/2021 22:00,136
0.958,-3.3,-6.5,0.9,0,0.8,1/1/2021 23:00,136
1,-3.5,-6.4,0.7,0,0.8,1/2/2021 0:00,136
1.042,-4.2,-6.9,0.1,0,0,1/2/2021 1:00,136
1.083,-4.5,-7.1,0.8,0,0,1/2/2021 2:00,136
1.125,-5.8,-7.9,1.2,0,0,1/2/2021 3:00,136
1.167,-7.1,-9.1,1.1,0,0,1/2/2021 4:00,136
1.208,-6.5,-8.9,0.1,0,0,1/2/2021 5:00,136
1.25,-5.9,-8.9,1.1,0,0,1/2/2021 6:00,136
1.292,-8.2,-11,1.5,0,0,1/2/2021 7:00,136
1.333,-7.6,-11.1,1.7,0.01,0,1/2/2021 8:00,136
1.375,-6,-10.4,0.9,0.58,0,1/2/2021 9:00,136
1.417,-3.2,-11.6,2.2,1.36,0,1/2/2021 10:00,136
1.458,-1.2,-16.2,4,1.04,0,1/2/2021 11:00,136
1.5,-0.1,-17.3,3.5,2.02,0.2,1/2/2021 12:00,136
1.542,0.5,-20.5,4.6,1.97,0,1/2/2021 13:00,136
1.583,0.7,-20.3,4.1,1.88,0,1/2/2021 14:00,136
1.625,0.4,-20,4.1,1.54,0,1/2/2021 15:00,136
1.667,-0.2,-20.5,4.3,1.01,0,1/2/2021 16:00,136
1.708,-1.3,-18.8,2.6,0.37,0,1/2/2021 17:00,136
1.75,-2.5,-18.9,2.8,0.01,0,1/2/2021 18:00,136
1.792,-3.5,-18.6,1.9,0,0,1/2/2021 19:00,136
1.833,-4.1,-18.3,3,0,0,1/2/2021 20:00,136
1.875,-4.1,-16.6,3.1,0,0,1/2/2021 21:00,136
1.917,-4.7,-15.6,1.9,0,0,1/2/2021 22:00,136
1.958,-5.1,-16,1.9,0,0,1/2/2021 23:00,136
2,-5.5,-16.9,2.5,0,0,1/3/2021 0:00,136
2.042,-6.2,-16.7,2.5,0,0,1/3/2021 1:00,136
2.083,-6,-16.3,2.7,0,0,1/3/2021 2:00,136
2.125,-5.7,-16.8,2.5,0,0,1/3/2021 3:00,136
2.167,-5.8,-16.9,3.7,0,0.4,1/3/2021 4:00,136
2.208,-6,-18,3.9,0,0.5,1/3/2021 5:00,136
2.25,-6.5,-18.8,3.7,0,0.5,1/3/2021 6:00,136
2.292,-6.5,-20.5,4.3,0,0.7,1/3/2021 7:00,136
2.333,-6.8,-21.1,3,0,0.1,1/3/2021 8:00,136
2.375,-5.7,-20.9,3.3,0.3,0,1/3/2021 9:00,136
2.417,-4.3,-19.7,3.1,1,0,1/3/2021 10:00,136
2.458,-2.8,-18.8,3.3,0.9,0.1,1/3/2021 11:00,136
2.5,-1.1,-17.7,3.9,1.85,0,1/3/2021 12:00,136
2.542,0.6,-17.7,3.7,1.82,0.6,1/3/2021 13:00,136
2.583,0.6,-17.2,4.2,1.58,0.8,1/3/2021 14:00,136
2.625,0.3,-16.1,4.4,1.05,0.8,1/3/2021 15:00,136
2.667,0,-15.1,4,0.77,0.8,1/3/2021 16:00,136
2.708,-0.9,-15.1,4.4,0.2,0.9,1/3/2021 17:00,136
2.75,-1.2,-14.4,3.6,0,0.9,1/3/2021 18:00,136
2.792,-1.9,-14.6,2.1,0,1,1/3/2021 19:00,136
2.833,-2.5,-14.2,1.4,0,0.7,1/3/2021 20:00,136
2.875,-3.1,-13.9,2.4,0,0.8,1/3/2021 21:00,136
2.917,-3.5,-13.7,1.7,0,0,1/3/2021 22:00,136
2.958,-4.5,-13.6,1.6,0,0.4,1/3/2021 23:00,136
3,-4.7,-13,1.4,0,0,1/4/2021 0:00,136
3.042,-5.3,-13.1,0.1,0,0.5,1/4/2021 1:00,136
3.083,-5.2,-12.6,0.8,0,0,1/4/2021 2:00,136
3.125,-5.9,-12.8,1,0,0,1/4/2021 3:00,136
3.167,-7.2,-13.6,1.1,0,0,1/4/2021 4:00,136
3.208,-8.5,-13.1,1.1,0,0,1/4/2021 5:00,136
3.25,-8.5,-13.3,0.2,0,0,1/4/2021 6:00,136
3.292,-8.4,-12.7,0.6,0,0,1/4/2021 7:00,136
3.333,-8.9,-12.6,0.6,0.01,0,1/4/2021 8:00,136
3.375,-8.7,-13.7,1.1,0.36,0,1/4/2021 9:00,136
3.417,-5.2,-11.3,0.5,0.9,0,1/4/2021 10:00,136
