name,id,z_inv,h_0,max_depth,map_x,map_y,a,b,c,bc,storage,table
0,0,88.2,0.00E+00,inf,358484.6,344484.8,0,0,1.00E+03,FALSE,functional,*
1,1,86.2,0.00E+00,inf,356260.3,341993.2,0,0,1.00E+03,FALSE,functional,*
2,2,82.81,0.00E+00,inf,355498,341216.4,0,0,1.00E+03,FALSE,functional,*
3,3,76.33,0.00E+00,inf,349654,342042.3,0,0,1.00E+03,FALSE,functional,*
4,4,71.34,0.00E+00,inf,347304.6,339819.3,0,0,1.00E+03,FALSE,functional,*
5,5,69.93,0.00E+00,inf,342791.5,340311.8,0,0,1.00E+03,FALSE,functional,*
6,6,68.73,0.00E+00,inf,340405,341556.6,0,0,1.00E+03,FALSE,functional,*
7,7,64.68,0.00E+00,inf,339022.6,341414.4,0,0,1.00E+03,FALSE,functional,*
8,8,58.75,0.00E+00,inf,331040.2,338826.5,0,0,1.00E+03,FALSE,functional,*
9,9,58.27,0.00E+00,inf,328609.4,337266.1,0,0,1.00E+03,FALSE,functional,*
10,10,55.16,0.00E+00,inf,327695.3,336933.1,0,0,1.00E+03,FALSE,functional,*
11,11,51.7,0.00E+00,inf,322363.5,337319.6,0,0,1.00E+03,FALSE,functional,*
12,12,48.5,1.00E+00,inf,315978.1,341348,0,0,1.00E+03,FALSE,functional,*
13,13,47.22,3.66E+00,inf,313488.3,338235.1,0,0,1.00E+03,FALSE,functional,*
14,14,44.6,3.99E+00,inf,313506.5,336795.5,0,0,2.00E+05,FALSE,functional,*
15,15,43.31,1.07E+01,inf,313760,333745.5,0,0,2.05E+05,FALSE,functional,*
16,16,40,1.13E+01,inf,312047.1,326779.2,0,0,2.05E+05,FALSE,functional,*
17,17,37.7,4.57E+00,inf,311104.3,326701.8,0,0,2.54E+05,FALSE,functional,*
18,18,34.25,9.00E+00,inf,317149.9,323533.3,0,0,1.80E+05,FALSE,functional,*
19,19,33,1.18E+01,inf,318175.2,322099.4,0,0,1.97E+05,FALSE,functional,*
20,20,31.35,1.20E+01,inf,317229.4,318763.6,0,0,1.94E+05,FALSE,functional,*
21,21,28.7,5.80E+00,inf,316184.2,318072.4,0,0,1.72E+05,FALSE,functional,*
22,22,26.4,1.11E+01,inf,320613.6,308846.7,0,0,2.37E+05,FALSE,functional,*
23,23,27.3,1.15E+01,inf,321010.6,305097.7,0,0,3.40E+05,FALSE,functional,*
24,24,25,5.68E+00,inf,321776.6,304006,0,0,2.28E+05,FALSE,functional,*
25,25,22.24,7.59E+00,inf,322927.9,300344.9,0,0,1.73E+05,FALSE,functional,*
26,26,19,8.22E+00,inf,325088,292537.2,0,0,2.67E+05,FALSE,functional,*
27,27,18.1,1.07E+01,inf,324900,286707.6,0,0,2.66E+05,FALSE,functional,*
28,28,17.38,1.12E+01,inf,326066.3,281104.8,0,0,3.00E+05,FALSE,functional,*
29,29,14.47,8.73E+00,inf,325668.6,278887.9,0,0,1.91E+05,FALSE,functional,*
30,30,12.4,9.58E+00,inf,325131,263382.5,0,0,2.93E+05,FALSE,functional,*
31,31,11,9.70E+00,inf,327614.7,262398.5,0,0,2.64E+05,FALSE,functional,*
32,32,10.79,1.03E+01,inf,331921.3,261315.6,0,0,2.88E+05,FALSE,functional,*
33,33,11,5.11E+00,inf,333849.5,258840.7,0,0,3.12E+05,FALSE,functional,*
34,34,10.5,6.47E+00,inf,333276,258139.3,0,0,3.01E+05,FALSE,functional,*
35,35,5.3,8.80E+00,inf,325523.9,251333.1,0,0,2.62E+05,FALSE,functional,*
36,36,5,8.90E+00,inf,327738.7,249783.1,0,0,1.91E+05,FALSE,functional,*
37,37,4.8,5.70E+00,inf,329354.9,248363.2,0,0,2.15E+05,FALSE,functional,*
38,38,4.6,5.80E+00,inf,329773.7,246438.9,0,0,1.86E+05,FALSE,functional,*
39,39,4.4,5.90E+00,inf,328162.8,244888.6,0,0,1.62E+05,FALSE,functional,*
40,40,3.5,7.87E+00,inf,326073,237074.5,0,0,1.57E+05,FALSE,functional,*
41,41,3.4,8.00E+00,inf,323540.1,235863.3,0,0,2.07E+05,FALSE,functional,*
42,42,3.08,9.55E+00,inf,322723.3,233904,0,0,1.64E+05,FALSE,functional,*
43,43,1.04,4.46E+00,inf,322956.7,231631.7,0,0,1.59E+05,FALSE,functional,*
44,44,0.9,4.60E+00,inf,323498.7,226221.3,0,0,1.67E+05,FALSE,functional,*
45,45,0.8,4.70E+00,inf,324535.8,225422.4,0,0,1.85E+05,FALSE,functional,*
46,46,0.7,4.80E+00,inf,328472.2,223080.9,0,0,2.08E+05,FALSE,functional,*
47,47,-0.2,5.00E+00,inf,329316.1,222166.5,0,0,1.94E+05,FALSE,functional,*
48,48,-0.6,5.74E+00,inf,324958.5,216797.4,0,0,1.69E+05,FALSE,functional,*
49,49,-0.6,6.34E+00,inf,330450,211545,0,0,1.55E+05,FALSE,functional,*
50,50,-0.9,6.70E+00,inf,331729.5,210600.4,0,0,2.23E+05,FALSE,functional,*
51,51,-1.7,6.80E+00,inf,334701.5,210634.5,0,0,1.96E+05,FALSE,functional,*
52,52,-3,9.00E+00,inf,338941.8,211209.2,0,0,2.64E+05,FALSE,functional,*
53,53,-3.83,9.33E+00,inf,340565.6,210546.7,0,0,2.44E+05,FALSE,functional,*
54,54,-3.91,5.14E+00,inf,345542.7,211855.1,0,0,1.70E+05,FALSE,functional,*
55,55,-4.74,5.97E+00,inf,349573.5,209593.3,0,0,2.65E+05,FALSE,functional,*
56,56,-5.3,6.53E+00,inf,354050.3,210058.5,0,0,2.24E+05,FALSE,functional,*
57,57,-5.3,6.53E+00,inf,359166,207082.1,0,0,2.68E+05,FALSE,functional,*
58,58,-5.5,6.73E+00,inf,363804.9,207897,0,0,3.96E+05,FALSE,functional,*
59,59,-5.71,6.94E+00,inf,364621.2,210763.9,0,0,2.76E+05,FALSE,functional,*
60,60,-6.3,7.53E+00,inf,373914.7,209037.8,0,0,2.51E+05,FALSE,functional,*
61,61,-6.4,7.63E+00,inf,379342.7,203996.3,0,0,2.52E+05,FALSE,functional,*
62,62,-6.5,7.73E+00,inf,382424.2,200335.4,0,0,2.61E+05,FALSE,functional,*
63,63,-6.7,7.93E+00,inf,383048.3,198367.7,0,0,3.67E+05,FALSE,functional,*
64,64,-6.8,8.03E+00,inf,381864.8,195121,0,0,2.56E+05,FALSE,functional,*
65,65,-6.9,8.13E+00,inf,381502.5,191739.9,0,0,3.05E+05,FALSE,functional,*
